,0,0,0,0,0,0,
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.25,0,0.25,0,1000,0.25,0.25,0
0.25,0.02778,0.25,0.033336,1000,0.22222,0.22222,0.25
0.25,0.094452,0.25,0.100008,1000,0.155548,0.155548,0.22222
0.25,0.150012,0.25,0.150012,998,0.099988,0.099988,0.155548
0.25,0.188904,0.25,0.19446,552,0.061096,0.061096,0.099988
0.25,0.211128,0.25,0.211128,495,0.038872,0.038872,0.061096
0.25,0.205572,0.25,0.211128,1000,0.044428,0.044428,0.038872
0.25,0.22224,0.25,0.216684,887,0.02776,0.02776,0.044428
0.25,0.238908,0.25,0.25002,0,0.011092,0.011092,0.02776
0.25,0.244464,0.25,0.261132,0,0.005536,0.005536,0.011092
0.25,0.238908,0.25,0.255576,1000,0.011092,0.011092,0.005536
0.25,0.25002,0.25,0.25002,0,-0.00002,-0.00002,0.011092
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,-0.00002
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.266688,720,-0.00002,-0.00002,-0.005576
0.25,0.25002,0.25,0.261132,719,-0.00002,-0.00002,-0.00002
0.25,0.25002,0.25,0.255576,718,-0.00002,-0.00002,-0.00002
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,0.005536
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.011132
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.261132,721,-0.005576,-0.005576,-0.016688
0.25,0.255576,0.25,0.255576,442,-0.005576,-0.005576,-0.005576
0.25,0.255576,0.25,0.25002,163,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.25002,662,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.244464,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.255576,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.005576
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.261132,999,-0.00002,-0.00002,-0.011132
0.25,0.261132,0.25,0.2778,0,-0.011132,-0.011132,-0.00002
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.011132
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.016688
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.25002,221,-0.005576,-0.005576,-0.011132
0.25,0.255576,0.25,0.25002,0,-0.005576,-0.005576,-0.005576
0.25,0.244464,0.25,0.25002,1000,0.005536,0.005536,-0.005576
0.25,0.255576,0.25,0.244464,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.005576
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.266688,721,-0.005576,-0.005576,-0.016688
0.25,0.255576,0.25,0.261132,442,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.255576,941,-0.00002,-0.00002,-0.005576
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,-0.00002
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.261132,0.25,0.272244,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.261132,999,-0.00002,-0.00002,-0.011132
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.00002
0.25,0.272244,0.25,0.255576,0,-0.022244,-0.022244,-0.016688
0.25,0.266688,0.25,0.25002,0,-0.016688,-0.016688,-0.022244
0.25,0.266688,0.25,0.25002,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.261132,721,-0.005576,-0.005576,-0.016688
0.25,0.255576,0.25,0.255576,442,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.255576,941,-0.00002,-0.00002,-0.005576
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,-0.00002
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.011132
0.25,0.261132,0.25,0.266688,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.255576,720,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,0.005536
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.011132
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.016688
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.25002,0.25,0.255576,999,-0.00002,-0.00002,-0.011132
0.25,0.266688,0.25,0.244464,0,-0.016688,-0.016688,-0.00002
0.25,0.272244,0.25,0.261132,0,-0.022244,-0.022244,-0.016688
0.25,0.272244,0.25,0.266688,0,-0.022244,-0.022244,-0.022244
0.25,0.261132,0.25,0.266688,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.255576,221,-0.005576,-0.005576,-0.011132
0.25,0.255576,0.25,0.25002,0,-0.005576,-0.005576,-0.005576
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.005576
0.25,0.255576,0.25,0.261132,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.005576
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.255576,0.25,0.272244,0,-0.005576,-0.005576,-0.005576
0.25,0.244464,0.25,0.261132,1000,0.005536,0.005536,-0.005576
0.25,0.255576,0.25,0.266688,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.25002,0,-0.016688,-0.016688,-0.005576
